song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
Hay Lupita,Megan Koffe,2025-06-28,2025-07-10,13,30,35.08,10,60.69,single,True,1.81,1,Decline,<2min
Headshot,Anuel AA,2025-09-22,2025-09-22,1,29,29.0,0,61.0,single,True,6.82,1,New Entry,>5 min
Heavy Is the Crown,Linkin Park,2025-09-27,2025-09-27,1,49,49.0,0,78.0,single,False,2.78,2,New Entry,2-3 min
Heavyweight,Eladio Carrion,2025-05-04,2025-05-04,1,49,49.0,0,62.0,single,True,2.75,5,New Entry,2-3 min
Hermosa Casualidad,Sen Senra & Aitana,2025-06-02,2025-06-09,6,39,43.67,4,55.83,single,False,3.43,1,New Entry,3-4 min
Hey Lil Mama,Eladio Carrion,2025-01-21,2025-04-13,78,8,28.17,4,82.83,album,False,3.61,17,Peak,3-4 min
Hey Mor,Ozuna,2024-05-18,2024-09-12,97,30,40.01,0,90.79,album,False,3.28,18,Mature,3-4 min
Historias Por Contar,Operación Triunfo 2023,2025-02-22,2025-02-24,3,28,39.0,0,57.0,single,False,3.2,1,New Entry,3-4 min
Holanda,Jhayco,2024-08-04,2025-03-12,219,3,21.89,12,88.45,single,True,3.86,1,Peak,3-4 min
Holly Jolly Christmas,Michael Bublé,2024-12-25,2024-12-27,3,24,38.0,0,83.0,album,False,2.0,16,New Entry,<2min
Houdini,Dua Lipa,2024-11-11,2024-11-17,7,23,40.29,0,81.43,single,False,3.1,1,New Entry,3-4 min
Hoy,Valentino Merlo & The La Planta,2025-09-29,2025-10-04,6,13,15.17,3,83.5,single,False,3.31,1,New Entry,3-4 min
I Can Do It With a Broken Heart,Taylor Swift,2025-04-23,2025-04-23,1,50,50.0,0,82.0,album,True,3.63,16,New Entry,3-4 min
IA,Clarent,2025-10-20,2025-11-27,39,1,4.15,20,75.28,single,True,2.86,1,Peak,2-3 min
IGUALES,Quevedo,2025-11-24,2025-11-27,4,3,3.5,0,68.75,album,False,3.06,18,New Entry,3-4 min
IL Capo,Rauw Alejandro,2025-11-17,2025-11-17,1,38,38.0,0,65.0,album,True,4.16,18,New Entry,4-5 min
Imagínate,Danny Ocean & Kapo,2025-11-15,2025-11-27,13,15,32.31,8,74.62,single,True,2.84,1,Decline,2-3 min
Imperio,Duki,2025-11-03,2025-11-23,19,15,28.95,6,72.11,album,True,2.81,15,Decline,2-3 min
It's Beginning to Look a Lot like Christmas,Michael Bublé,2024-12-25,2024-12-27,3,16,24.0,0,87.0,album,False,3.45,21,New Entry,3-4 min
It's the Most Wonderful Time of the Year,Andy Williams,2024-12-25,2024-12-27,3,12,20.0,0,79.0,album,False,2.52,12,New Entry,2-3 min
"Japoni (Feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso & Samuel G & Omar Montes,2025-05-05,2025-06-17,11,45,47.73,29,68.09,single,False,4.13,1,Decline,4-5 min
"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso & Samuel G & Omar Montes,2025-01-18,2025-04-01,61,26,35.93,38,74.28,single,False,4.13,1,Mature,4-5 min
Jingle Bell Rock,Bobby Helms,2024-12-25,2024-12-27,3,10,16.67,0,94.0,single,False,2.18,2,New Entry,2-3 min
K-POP,Travis Scott & Bad Bunny & The Weeknd,2024-07-23,2024-08-05,14,21,33.86,0,79.57,single,True,3.09,1,Decline,3-4 min
KASSANDRA,Quevedo,2025-11-24,2025-11-27,4,2,2.0,0,69.5,album,False,3.05,18,New Entry,3-4 min
KTM,Jhayco & Bryant Myers & Luar La L,2025-03-24,2025-03-28,4,16,41.25,0,51.25,single,True,6.11,1,New Entry,>5 min
