song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
PASAJERO,Mora,2024-08-30,2024-10-13,45,4,27.78,0,80.02,album,False,2.49,15,Peak,2-3 min
PASIEMPRE,Tainy,2024-07-02,2024-07-20,19,21,34.0,3,83.37,album,True,5.93,19,Decline,>5 min
PELIGROSA,FloyyMenor,2025-07-31,2025-11-27,119,3,13.59,39,79.0,single,True,2.25,1,Peak,2-3 min
PERREO LENTO,Chris Jedi & Gaby Music & Dei V,2025-03-01,2025-03-29,27,28,36.41,6,74.63,single,True,2.61,5,Decline,2-3 min
PERRO NEGRO,Bad Bunny,2024-10-14,2025-05-31,195,2,11.39,3,94.15,album,True,2.71,22,Peak,2-3 min
PERROS&GATA$,Nicki Nicole & SAIKO,2025-07-04,2025-07-07,4,45,46.5,0,66.5,single,False,2.99,1,New Entry,2-3 min
PIDE,Mora,2024-08-30,2024-09-02,4,15,34.25,0,54.5,album,True,3.47,15,New Entry,3-4 min
PIRIBIRI,JC Reyes & Pedro Calderon,2024-08-09,2024-09-29,41,37,45.22,39,74.2,single,False,2.95,1,Decline,2-3 min
PLAYA DEL INGLÉS,Quevedo,2024-05-18,2024-12-12,159,15,24.31,0,82.73,album,False,3.96,16,Growth,3-4 min
POLARIS - Remix,Saiko & Feid & Quevedo,2024-06-11,2025-05-09,324,1,17.98,0,83.93,single,True,4.8,1,Peak,4-5 min
POR ATRÁS,Quevedo,2025-11-24,2025-11-27,4,11,16.75,0,65.5,album,False,2.86,18,New Entry,2-3 min
PRIVILEGIOS,Feid,2024-09-30,2024-10-01,2,46,46.0,0,0.0,album,False,3.1,15,New Entry,3-4 min
PROVENZA,KAROL G,2025-07-25,2025-07-30,6,45,47.33,1,82.17,album,False,3.46,17,New Entry,3-4 min
PUNTO G,Quevedo,2024-05-18,2025-01-13,162,23,40.61,12,85.33,album,False,2.52,16,Mature,2-3 min
Pacto (feat. Bryant Myers & Dei V) - Remix,Jay Wheeler & Anuel AA & Hades66,2024-07-29,2024-10-06,66,20,37.06,21,80.44,single,True,5.77,1,Mature,>5 min
Pacto (feat. Luar La L),Jay Wheeler,2024-06-01,2024-07-01,31,38,43.77,21,70.61,album,True,4.73,9,Decline,4-5 min
Pasaporte,Rauw Alejandro & Mr. Naisgai,2025-09-29,2025-11-17,2,43,46.0,49,63.5,single,False,4.45,1,New Entry,4-5 min
Passoa,JHAYCO & Kapo,2025-08-17,2025-09-27,40,19,34.78,9,71.25,single,False,5.15,1,Decline,>5 min
Paz,Morad,2024-05-18,2024-05-20,3,44,46.0,0,64.67,album,False,3.1,19,New Entry,3-4 min
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2025-04-14,2025-05-21,35,14,33.63,7,87.66,single,False,2.41,1,Decline,2-3 min
Penas de Antaño,Bizarrap & Milo j,2024-10-09,2024-10-12,4,44,46.5,1,76.5,single,False,3.35,5,New Entry,3-4 min
Perdió Este Culo,Bad Gyal,2025-01-28,2025-02-24,28,18,37.14,3,74.07,album,True,2.65,15,Decline,2-3 min
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,2024-06-03,2024-07-01,29,2,18.21,0,94.45,single,True,3.14,1,Peak,3-4 min
Please Please Please,Sabrina Carpenter,2025-06-12,2025-06-20,9,33,39.33,6,87.0,single,True,3.11,2,Decline,3-4 min
Polaris,Saiko,2024-05-18,2024-06-11,25,22,36.16,23,77.68,single,True,3.2,3,Decline,3-4 min
Potra Salvaje,Isabel Aaiún,2025-07-07,2025-08-28,50,14,35.26,11,64.7,album,False,3.33,10,Decline,3-4 min
Potra Salvaje - Hard Remix,Isabel Aaiún & Fernando Moreno,2025-05-29,2025-09-24,114,3,13.99,20,74.51,single,False,5.7,1,Peak,>5 min
Probemas Mentales,JZAEB & Eix,2025-03-07,2025-03-07,1,48,48.0,0,55.0,single,True,3.82,1,New Entry,3-4 min
Problemas Mentales,JZAEB & Eix,2025-03-20,2025-03-22,2,22,22.5,2,67.5,single,True,3.82,1,New Entry,3-4 min
"Ptazeta: Bzrp Music Sessions, Vol. 45",Paul Thin & RUSLANA,2025-01-18,2025-01-19,2,42,46.0,0,57.0,single,False,2.62,1,New Entry,2-3 min
PÓLVORA,Mora,2024-08-30,2024-09-09,11,8,32.45,0,71.0,album,True,3.09,15,Peak,3-4 min
Q U E V A S H A C E R H O Y ?,Omar Courtz,2025-09-25,2025-11-27,64,1,4.52,7,85.88,album,False,3.73,17,Peak,3-4 min
QLONA,KAROL G,2024-08-19,2025-10-19,342,8,26.47,26,90.0,album,True,2.88,9,Peak,2-3 min
QUE ASCO DE TODO,Quevedo,2025-11-24,2025-11-27,4,19,28.75,0,63.5,album,False,3.17,18,New Entry,3-4 min
QUEVEDO #49 AFTER HOUR THE MIXTAPE,DJ Saot ST,2024-06-04,2024-06-04,1,48,48.0,0,20.0,album,False,2.0,49,New Entry,<2min
QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,2024-11-25,2024-12-23,29,13,35.17,0,73.62,single,False,3.39,1,Decline,3-4 min
Que Me Lleve el Aire,Luis Cortés,2025-10-10,2025-10-17,8,42,46.38,3,67.0,single,False,2.84,1,Decline,2-3 min
Que te vaya bien,Rvfv,2024-05-18,2024-06-07,21,26,37.9,0,77.0,single,False,3.42,1,Decline,3-4 min
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-05-18,2025-01-03,133,27,36.09,11,92.07,single,False,3.32,1,Mature,3-4 min
Quickie,Dei V,2025-11-19,2025-11-25,7,31,42.43,4,66.57,single,True,2.06,1,New Entry,2-3 min
Quien Es Dei V?,Dei V,2024-09-24,2025-04-09,196,10,28.97,10,80.01,single,True,2.7,1,Peak,2-3 min
Quién es Dei V?,Dei V,2025-06-16,2025-06-16,1,50,50.0,0,13.0,album,True,2.7,16,New Entry,2-3 min
Qué Pasaría...,Rauw Alejandro,2025-11-17,2025-11-27,11,1,4.45,0,80.82,album,True,3.18,18,Peak,3-4 min
Qué Pecao,Manuel Turizo & Kapo,2025-10-06,2025-11-27,53,13,21.42,7,72.25,single,False,3.83,1,Growth,3-4 min
RAPAPA,JC Reyes,2025-10-20,2025-11-26,38,8,22.16,12,66.5,single,False,2.01,6,Peak,2-3 min
REAL GANGSTA LOVE,Trueno,2025-06-06,2025-11-16,154,1,18.27,6,87.66,album,True,2.42,13,Peak,2-3 min
REINA,Mora,2024-08-30,2025-04-17,229,1,15.45,0,84.59,album,True,3.53,15,Peak,3-4 min
REMIX EXCLUSIVO,Feid,2024-05-18,2024-06-04,17,43,47.18,2,87.24,single,True,3.45,1,Decline,3-4 min
RITMO DE MEDALLO,Feid,2024-09-30,2024-10-01,2,37,37.0,0,0.0,album,False,1.98,15,New Entry,<2min
RITUAL,Myke Towers,2024-11-25,2024-11-25,1,48,48.0,0,0.0,album,True,2.57,23,New Entry,2-3 min
RKO,Eladio Carrion,2025-01-21,2025-01-24,4,20,38.25,0,69.75,album,True,1.78,17,New Entry,<2min
RUEDA,Rvfv,2025-06-02,2025-08-14,70,21,40.9,17,63.3,album,False,3.55,20,Mature,3-4 min
Rapeadita LOVE,Rels B,2025-04-28,2025-04-28,1,44,44.0,0,65.0,album,True,2.34,13,New Entry,2-3 min
Rapido (with Cris Mj),Dei V,2025-06-16,2025-11-27,162,5,14.46,67,78.14,album,True,2.43,16,Peak,2-3 min
Rara Vez,Taiu & Milo j,2024-05-18,2024-12-13,147,15,33.14,2,89.78,single,False,2.14,1,Mature,2-3 min
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,2024-06-24,2024-10-13,111,1,23.08,0,87.98,single,True,3.19,1,Peak,3-4 min
Razones,Ozuna & Anuel AA & Mambo Kingz,2025-06-30,2025-07-05,6,16,32.67,0,67.5,single,False,3.71,1,New Entry,3-4 min
Remember Me,Duki,2024-07-19,2024-07-22,4,43,45.25,0,61.0,album,False,2.84,15,New Entry,2-3 min
Revolú,Rauw Alejandro,2025-11-17,2025-11-23,7,10,24.43,0,73.14,album,True,3.59,18,New Entry,3-4 min
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza & Villano Antillano & Tokischa,2025-04-26,2025-05-12,5,26,40.0,1,83.4,single,True,2.65,2,New Entry,2-3 min
RoCKSTAR 2.0,Duki & Jhayco,2024-06-24,2024-07-02,9,14,21.78,0,74.0,single,True,2.9,1,Growth,2-3 min
Rockin' Around The Christmas Tree,Brenda Lee,2024-12-24,2024-12-27,4,7,19.0,1,98.0,album,False,2.1,12,New Entry,2-3 min
Romero Santo,DELLAFUENTE,2025-06-16,2025-06-21,5,31,40.6,0,45.4,album,False,3.19,10,New Entry,3-4 min
Rosas,La Oreja de Van Gogh,2025-10-17,2025-10-26,10,30,42.5,2,70.2,album,False,3.95,12,Decline,3-4 min
RÁPIDO,Mora,2024-05-18,2024-05-24,7,41,44.0,0,81.71,single,True,3.05,1,New Entry,3-4 min
S91,KAROL G,2024-07-16,2024-09-04,49,21,35.1,28,80.78,single,False,2.88,1,Decline,2-3 min
SE ME OLVIDA,Maisak & Feid,2025-08-24,2025-11-16,79,11,31.03,8,83.38,single,True,3.76,1,Mature,3-4 min
SE TE NOTA (feat. Peso Pluma),Myke Towers,2025-08-24,2025-08-25,2,27,37.0,0,31.5,album,True,3.17,20,New Entry,3-4 min
SEDA,Bad Bunny,2024-10-14,2025-02-13,119,6,25.2,0,85.33,album,True,3.17,22,Peak,3-4 min
SEXO DESENFRENADO,Myke Towers,2025-08-24,2025-08-24,1,45,45.0,0,0.0,album,True,4.06,20,New Entry,4-5 min
SEYA,GIMS,2024-10-21,2025-02-27,109,21,31.04,60,67.91,album,False,3.14,21,Mature,3-4 min
SHIBATTO,Quevedo,2025-11-24,2025-11-27,4,3,3.75,2,67.75,album,False,2.3,18,New Entry,2-3 min
SI NO ES CONTIGO,Cris Mj,2025-06-18,2025-09-20,92,31,38.6,52,88.24,single,True,2.6,1,Mature,2-3 min
SI SABE FERXXO,Blessd,2025-01-28,2025-02-28,31,27,39.81,4,82.26,album,True,2.54,14,Decline,2-3 min
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión,2025-03-31,2025-06-08,59,16,38.17,0,73.49,album,True,4.03,9,Decline,4-5 min
SI TE PEGAS,Rauw Alejandro,2024-07-09,2024-07-12,4,30,36.75,0,56.25,album,True,3.06,14,New Entry,3-4 min
SORRY 4 THAT MUCH,Feid,2025-06-09,2025-07-17,38,9,24.26,8,81.45,single,True,3.46,1,Peak,3-4 min
SPANISH TETEO,Rvfv & Rels B & Omar Montes,2024-09-10,2024-09-11,2,50,50.0,0,61.0,single,True,3.02,1,New Entry,3-4 min
STAR,JC Reyes,2025-10-20,2025-11-27,37,7,15.51,26,67.62,single,False,2.6,6,Peak,2-3 min
SUPERNOVA,SAIKO,2025-04-28,2025-05-03,6,33,40.83,0,59.33,album,False,3.18,16,New Entry,3-4 min
Sangre y Fe,Cruz Cafuné,2024-05-28,2024-06-16,20,6,30.65,0,71.45,album,True,3.86,23,Peak,3-4 min
Santa,Rvssian & Rauw Alejandro & Ayra Starr,2025-04-16,2025-11-27,224,1,12.11,5,82.61,single,False,3.22,1,Peak,3-4 min
Santa Tell Me,Ariana Grande,2024-12-25,2024-12-27,3,17,25.0,0,96.0,single,False,3.4,1,New Entry,3-4 min
Se Fue,Rauw Alejandro,2025-11-17,2025-11-27,11,5,13.36,0,76.64,album,False,4.0,18,Peak,3-4 min
Se Grita,Morad,2024-07-21,2024-08-05,16,46,47.12,4,84.5,album,True,4.33,19,Decline,4-5 min
Se Pone Las Nike,Cano,2025-11-06,2025-11-27,22,6,15.05,8,66.55,album,False,2.66,10,Peak,2-3 min
SexeSexy,Mushkaa,2025-03-31,2025-04-13,6,40,44.33,0,52.5,album,False,3.88,9,New Entry,3-4 min
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2024-05-18,2024-07-18,61,30,41.89,5,93.67,single,False,3.58,1,Mature,3-4 min
Shars 2023,Al Safir,2024-11-30,2024-12-01,2,21,21.0,0,41.5,single,False,2.72,1,New Entry,2-3 min
Si Antes Te Hubiera Conocido,KAROL G,2025-06-22,2025-11-27,157,1,2.44,10,92.75,single,False,3.26,1,Peak,3-4 min
Si La Calle Llama - Remix,Eladio Carrion,2024-05-18,2024-08-29,104,20,32.58,1,85.63,album,True,4.0,18,Mature,3-4 min
Si No Estás,iñigo quintero,2024-09-20,2025-04-03,187,1,14.81,9,93.47,single,False,3.07,1,Peak,3-4 min
Sigo Enamorau',Eladio Carrion,2025-01-21,2025-01-21,1,17,17.0,0,68.0,album,True,3.25,17,New Entry,3-4 min
Sin Gato (MIAU!),Rels B,2024-05-28,2024-06-03,3,45,47.67,0,68.0,single,False,2.48,1,New Entry,2-3 min
Sleigh Ride,The Ronettes,2024-12-25,2024-12-27,3,28,42.67,0,84.0,album,False,3.02,15,New Entry,3-4 min
Snowman,Sia,2024-12-25,2024-12-27,3,27,37.0,0,94.0,album,False,2.76,13,New Entry,2-3 min
Sofi - Remix,Samueliyo Baby & KEVIN ROLDAN,2024-12-12,2024-12-14,3,22,32.33,0,68.0,single,False,2.86,1,New Entry,2-3 min
Solita y SueltAAA,Rels B,2024-07-23,2024-07-25,3,49,49.67,2,67.33,album,False,2.6,9,New Entry,2-3 min
Soltera,Shakira,2025-09-28,2025-11-27,61,5,13.34,16,83.85,single,False,3.58,1,Peak,3-4 min
Sonrisa,Eladio Carrion,2025-01-21,2025-01-21,1,16,16.0,0,68.0,album,True,2.54,17,New Entry,2-3 min
Sport+ RMX,Clarent & Myke Towers,2025-08-15,2025-08-23,9,47,48.67,2,70.22,single,True,3.66,1,Decline,3-4 min
Suano,NTG & Amenazzy,2025-05-16,2025-08-09,80,6,23.55,17,73.74,single,True,2.29,1,Peak,2-3 min
Supernova,Saiko,2024-05-18,2024-12-16,201,1,23.6,0,81.0,single,False,3.18,1,Peak,3-4 min
T'as peur,Aya Nakamura,2024-05-18,2024-05-21,4,45,46.0,0,70.0,album,False,3.59,15,New Entry,3-4 min
TAMBIÉN,Myke Towers,2025-08-24,2025-11-27,88,5,11.88,43,76.65,album,True,2.33,20,Peak,2-3 min
TE FALLÉ,Quevedo,2025-11-24,2025-11-27,4,17,25.25,0,64.25,album,False,3.66,18,New Entry,3-4 min
TELEFONO NUEVO,Bad Bunny,2024-10-14,2024-10-28,15,9,30.47,0,80.8,album,True,5.91,22,Peak,>5 min
THUNDER Y LIGHTNING,Bad Bunny,2024-10-14,2024-11-17,35,14,31.66,0,83.37,album,True,3.62,22,Decline,3-4 min
TQG,KAROL G,2024-05-18,2025-08-08,120,9,31.98,0,93.07,album,True,3.3,17,Peak,3-4 min
TQMQA,Eladio Carrion,2024-12-17,2025-01-26,32,15,38.94,35,74.78,single,False,2.83,1,Decline,2-3 min
TU$$I (with Dei V),YOVNGCHIMI,2025-03-01,2025-08-16,160,11,31.86,18,76.69,album,True,2.72,16,Mature,2-3 min
TUYA,ROSALÍA,2024-06-11,2024-07-18,38,6,29.18,0,84.92,single,True,2.58,1,Peak,2-3 min
Tacos Gucci,Anuel AA,2025-02-18,2025-03-05,13,19,33.31,4,79.54,single,True,3.45,1,Decline,3-4 min
Tanta Droga,Eladio Carrion,2025-01-21,2025-01-21,1,27,27.0,0,68.0,album,True,4.15,17,New Entry,4-5 min
Taste,Sabrina Carpenter,2025-08-29,2025-09-03,6,47,48.67,2,89.67,album,False,2.62,12,New Entry,2-3 min
Tattoo,Loreen,2024-05-18,2024-06-02,16,21,37.19,0,91.44,single,False,3.06,1,Decline,3-4 min
Te Menti,Ozuna & Saiko & Ovy On The Drums,2024-09-19,2024-09-29,11,38,45.45,1,73.18,single,False,3.12,1,Decline,3-4 min
Tengo Un Plan,Key-Key,2025-04-04,2025-06-11,69,11,26.39,10,77.87,single,False,3.15,1,Mature,3-4 min
Thalía,Cyril Kamer,2025-03-15,2025-06-04,81,9,26.77,25,73.68,single,False,3.06,1,Peak,3-4 min
Thalía - Remix,Cyril Kamer & Rvfv & Polimá Westcoast,2025-07-18,2025-08-23,34,25,37.06,17,69.18,single,False,3.85,1,Decline,3-4 min
The Code,Nemo,2025-05-14,2025-05-18,5,24,36.8,0,79.8,single,False,3.0,1,New Entry,2-3 min
The Emptiness Machine,Linkin Park,2025-09-11,2025-10-02,17,30,38.12,2,91.12,single,True,3.17,1,Decline,3-4 min
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,2025-09-29,2025-09-29,1,50,50.0,0,79.0,single,True,4.27,1,New Entry,4-5 min
Todo Contigo,Álvaro De Luna,2024-05-18,2024-09-23,129,12,30.12,0,78.99,single,False,2.76,1,Mature,2-3 min
Todo Lit,Eladio Carrion,2025-01-21,2025-01-21,1,23,23.0,0,67.0,album,True,4.03,17,New Entry,4-5 min
Toy en el Mic,Bizarrap & Milo j,2024-10-07,2024-10-13,7,24,28.57,3,76.0,single,True,2.28,5,New Entry,2-3 min
Tranquila Baby,Eladio Carrion,2025-01-21,2025-01-21,1,32,32.0,0,67.0,album,True,2.13,17,New Entry,2-3 min
Trato De Estar Bien,Duki,2025-11-03,2025-11-09,5,37,44.0,0,65.6,album,False,3.56,15,New Entry,3-4 min
Trending Remix (with Myke Towers),Dei V,2025-03-03,2025-07-20,137,10,24.47,7,73.47,single,True,3.75,1,Peak,3-4 min
Tu Ritmo,Eladio Carrion,2025-01-21,2025-01-21,1,21,21.0,0,68.0,album,True,2.64,17,New Entry,2-3 min
Tu Silueta,Diegote,2025-07-14,2025-10-28,106,5,17.41,17,76.1,single,False,2.84,1,Peak,2-3 min
Tú Con Él,Rauw Alejandro,2025-11-17,2025-11-23,7,12,24.86,0,75.14,album,False,4.82,18,New Entry,4-5 min
UN DESEO,Mora,2024-08-30,2024-08-31,2,20,31.0,0,34.5,album,True,3.65,15,New Entry,3-4 min
UN PREVIEW,Bad Bunny,2024-09-27,2024-11-02,37,1,22.41,0,81.14,single,False,2.76,1,Peak,2-3 min
UNA BACHATA,Lola Indigo,2025-02-04,2025-04-27,77,8,30.01,0,74.06,album,False,2.63,7,Peak,2-3 min
UWAIE,Kapo,2025-08-20,2025-11-27,100,2,9.24,9,86.4,single,False,2.87,1,Peak,2-3 min
Un Desperdicio,Rels B,2025-04-28,2025-05-15,16,29,36.69,10,79.25,album,False,3.73,13,Decline,3-4 min
Un Rodeoooo,Rels B,2024-07-23,2024-09-23,57,36,44.42,18,75.09,album,False,2.27,9,Decline,2-3 min
Una Foto Remix (feat. Emilia),Mesita & Nicki Nicole & Tiago PZK,2025-01-11,2025-06-15,154,6,24.24,21,87.25,single,False,4.06,1,Peak,4-5 min
Una Velita,Bad Bunny,2025-09-22,2025-09-27,6,7,36.0,0,75.83,single,True,4.0,1,New Entry,3-4 min
Underneath the Tree,Kelly Clarkson,2024-12-25,2024-12-27,3,22,34.0,0,86.0,album,False,3.83,14,New Entry,3-4 min
VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,2024-05-18,2025-10-16,388,3,28.97,17,84.8,single,False,3.59,1,Peak,3-4 min
VENTE CONMIGO,Feid,2024-08-06,2024-08-12,7,22,35.29,0,77.14,single,False,3.1,1,New Entry,3-4 min
VISTA AL MAR,Quevedo,2024-05-21,2024-07-29,33,43,47.76,9,82.18,album,False,3.01,16,Decline,3-4 min
VOLVER,Tainy,2024-07-02,2024-07-02,1,49,49.0,0,69.0,album,True,3.1,19,New Entry,3-4 min
VOU 787,Bad Bunny,2024-10-14,2024-10-18,5,13,27.2,0,65.0,album,True,2.06,22,New Entry,2-3 min
VUELVE CANDY B,Bad Bunny,2024-10-14,2024-10-18,5,19,32.2,0,63.4,album,True,4.44,22,New Entry,4-5 min
"VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix",Pressure 9X19 & Anuel AA & YOVNGCHIMI,2025-03-17,2025-03-30,13,13,31.38,0,75.54,single,True,9.25,1,Decline,>5 min
Vacile,Yan Block,2025-08-15,2025-11-27,105,16,22.28,63,77.46,single,True,2.34,1,Growth,2-3 min
Vida De Rock,Duki,2025-11-03,2025-11-10,8,34,40.38,4,69.25,album,True,3.03,15,Decline,3-4 min
WANDA,Quevedo,2024-05-18,2024-12-07,145,18,28.45,0,85.54,album,False,2.68,16,Mature,2-3 min
WHERE SHE GOES,Bad Bunny,2024-05-21,2024-10-28,154,1,15.88,0,94.51,single,True,3.86,1,Peak,3-4 min
WYA REMIX RED,J Abdiel & De La Rose & Yan Block,2025-06-19,2025-11-16,140,22,34.96,23,81.93,single,True,5.36,1,Mature,>5 min
Whisky,Samuel G & Oscar el Ruso & Aissa,2025-07-17,2025-07-31,15,30,35.6,4,68.53,single,False,5.09,1,Decline,>5 min
X'CLUSIVO,Gonzy,2025-01-31,2025-03-09,38,3,18.05,30,77.74,single,True,2.93,1,Peak,2-3 min
X'CLUSIVO - REMIX,Gonzy & SAIKO & Arcángel,2025-03-03,2025-11-23,262,1,16.07,0,75.39,single,True,3.47,1,Peak,3-4 min
Xxx_Rosario_xxX,Saiko,2024-12-24,2025-01-05,13,23,34.54,0,66.23,album,True,3.15,7,Decline,3-4 min
YO LO SOÑÉ,SAIKO & Omar Montes,2025-04-19,2025-08-16,118,1,22.61,11,69.25,single,False,2.92,1,Peak,2-3 min
YO TENGO UN NOVIO,Lola Indigo,2024-12-17,2024-12-24,8,18,32.88,4,60.12,album,False,2.41,7,Decline,2-3 min
YOTULOKO,Omar Montes & Rels B,2025-07-14,2025-11-05,114,22,32.52,13,73.82,single,False,3.56,1,Mature,3-4 min
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,2024-12-25,2024-12-25,1,34,34.0,0,50.0,album,False,4.37,9,New Entry,4-5 min
Yandel 150,Yandel,2024-05-18,2024-09-23,125,10,26.38,0,88.52,album,True,3.6,17,Peak,3-4 min
Yankee 150,Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,1,46,46.0,0,68.0,single,True,4.04,1,New Entry,4-5 min
Yo sé,Yan Block & TORRRES,2025-11-01,2025-11-27,26,8,22.38,21,72.65,single,True,2.16,1,Peak,2-3 min
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko,2025-01-13,2025-04-26,101,1,17.52,0,90.58,single,False,3.12,1,Peak,3-4 min
ZORRA,Nebulossa,2025-02-05,2025-05-18,21,8,26.76,0,72.76,single,True,3.06,1,Peak,3-4 min
a new star (2 0 2 4),Rels B,2025-05-09,2025-05-30,16,32,40.56,7,75.38,album,True,2.37,13,Decline,2-3 min
caída del cielo <3,Rels B,2025-04-28,2025-05-01,2,38,43.0,0,68.5,album,True,2.22,13,New Entry,2-3 min
do it 4 th€ gram,Cruz Cafuné,2025-07-21,2025-07-21,1,34,34.0,0,54.0,single,True,2.51,6,New Entry,2-3 min
don't liE,Duki,2024-06-25,2024-06-29,5,44,48.0,3,71.8,album,False,3.56,14,New Entry,3-4 min
haz lo que quieras conmigo,Walls,2025-09-22,2025-10-19,20,33,44.15,0,65.8,single,False,3.48,1,Decline,3-4 min
i like the way you kiss me,Artemas,2025-04-04,2025-05-02,21,19,32.9,14,97.86,single,False,2.38,1,Decline,2-3 min
la noia,Angelina Mango,2025-05-14,2025-05-14,1,47,47.0,0,80.0,single,False,3.15,1,New Entry,3-4 min
la raíz d€l mal,Cruz Cafuné,2025-07-21,2025-07-26,4,42,47.5,0,59.0,single,True,2.23,6,New Entry,2-3 min
lady madrizZz,céro,2024-11-03,2025-03-02,118,8,27.47,13,73.84,single,False,2.18,1,Peak,2-3 min
miamor,Aitana & Rels B,2024-08-26,2024-09-26,32,4,37.25,0,72.72,single,False,2.66,1,Peak,2-3 min
m€ntiras,Cruz Cafuné,2025-07-21,2025-07-21,1,43,43.0,0,54.0,single,True,2.53,6,New Entry,2-3 min
offline,Young Miko,2025-04-07,2025-06-15,69,16,34.74,2,84.22,album,False,3.37,16,Mature,3-4 min
rang€ rov€r,Cruz Cafuné,2025-07-21,2025-07-21,1,47,47.0,0,53.0,single,True,1.95,6,New Entry,<2min
rompeolas,Martin Urrutia,2025-04-12,2025-04-18,2,39,42.0,6,68.5,single,False,2.71,1,New Entry,2-3 min
un x100to,Grupo Frontera & Bad Bunny,2024-05-18,2024-06-14,27,31,38.04,3,99.96,single,False,3.24,1,Decline,3-4 min
vampire,Olivia Rodrigo,2024-07-02,2024-07-02,1,48,48.0,0,85.0,single,True,3.66,1,New Entry,3-4 min
we can't be friends (wait for your love),Ariana Grande,2025-03-11,2025-03-20,8,31,41.5,2,88.38,album,False,3.81,13,Decline,3-4 min
"yes, and?",Ariana Grande,2025-01-14,2025-01-20,7,30,35.43,4,91.0,single,True,3.58,1,New Entry,3-4 min
